id;name;description;icon
1;architectures Fantastic Frozen Chips innovative;syndicate European Unit of Account 9(E.U.A.-9);impactful
2;homogeneous;synthesizing Program;Sausages architectures
3;Administrator front-end Auto Loan Account;invoice Enterprise-wide Money Market Account;Personal Loan Account
4;Pound Sterling Baby;AI Tunnel;Clothing Table orange
5;synthesizing Frozen;Dominica optical;Universal
6;Small Cotton Hat;Handcrafted Frozen Gloves Customer;Computers leading edge
7;panel payment Maryland;Credit Card Account Investor Soft;definition
8;IB;haptic;migration generating back up
9;interface Surinam Dollar olive;backing up;enterprise superstructure withdrawal
10;New York override transmit;embrace;Focused Prairie Markets
